-1332,600,-210
-1229,462,-280
-1387,411,-173
-1501,474,-107
-1439,386,-158
-1658,335,-96
-1526,391,-74
-1760,296,-132
-1619,374,-22
-1833,239,-62
-1802,297,19
-1901,305,8
-1954,25,-152
-1965,166,166
-2026,127,15
-1918,71,-7
-1818,0,28
-2152,149,46
-2118,51,57
-2188,36,87
-2117,39,-91
-2213,-142,91
-2265,8,66
-2278,-98,20
-2301,-162,12
-2203,-93,22
-2370,-130,73
-2436,-289,-13
-2468,-311,-6
-2351,-308,65
-2396,-312,-28
-2404,-457,7
-2356,-360,33
-2536,-484,-82
-2535,-560,77
-2442,-593,-31
-2520,-586,2
-2667,-774,-73
-2417,-748,-81
-2535,-635,-70
-2642,-655,-107
-2572,-875,-113
-2629,-864,-232
-2664,-819,-240
-2585,-863,-32
-2679,-931,-225
-2577,-880,-325
-2617,-1087,-271
-2697,-1129,-280
-2561,-1049,-463
-2718,-1201,-484
-2618,-1082,-410
-2686,-1151,-554
-2683,-1219,-571
-2737,-1350,-532
-2695,-1364,-616
-2712,-1268,-765
-2680,-1420,-621
-2673,-1602,-748
-2809,-1545,-776
-2650,-1486,-693
-2733,-1586,-835
-2788,-1536,-805
-2721,-1655,-834
-2797,-1588,-810
-2822,-1652,-828
-2850,-1666,-703
-2802,-1771,-737
-2704,-1853,-860
-2978,-1922,-800
-2704,-1810,-782
-2959,-2054,-705
-2753,-1877,-732
-2776,-2082,-648
-2645,-2197,-630
-2839,-2093,-659
-2822,-2042,-540
-2741,-2286,-540
-2664,-2330,-428
-2723,-2095,-520
-2649,-2324,-405
-2589,-2299,-469
-2537,-2267,-323
-2542,-2453,-308
-2540,-2379,-237
-2523,-2425,-336
-2487,-2300,-209
-2358,-2338,-240
-2398,-2426,-138
-2320,-2437,-46
-2321,-2517,-196
-2290,-2395,-85
-2208,-2410,-65
-2159,-2415,-142
-2152,-2395,47
-1992,-2424,-116
-2157,-2491,-79
-2175,-2305,-51
-2169,-2405,-49
-1981,-2432,-107
-2061,-2532,21
-2070,-2363,-65
-1941,-2430,-77
-1935,-2534,62
-2038,-2492,-120
-1899,-2422,-172
-1922,-2345,14
-1897,-2373,-129
-1951,-2320,-55
-1912,-2365,-54
-1969,-2337,-108
-1917,-2321,-77
-1875,-2330,-16
-2011,-2270,-181
-1824,-2211,121
-1916,-2358,-43
-1913,-2252,18
-1906,-2221,137
-1946,-2137,214
-1754,-2242,105
-1874,-2078,395
-1795,-2172,205
-1882,-1983,451
-1727,-1983,593
-1730,-1954,606
-1807,-2061,775
-1620,-1873,848
-1661,-1906,958
-1780,-1827,1036
-1669,-1822,1074
-1580,-1894,1219
-1555,-1647,1304
-1600,-1737,1388
-1486,-1709,1499
-1499,-1608,1550
-1389,-1540,1582
-1412,-1591,1577
-1391,-1448,1869
-1257,-1402,1737
-1405,-1439,1937
-1443,-1438,1888
-1180,-1201,2050
-1400,-1195,2110
-1212,-1226,2019
-1377,-1118,2287
-1200,-1072,2155
-1203,-996,2406
-1266,-1060,2293
-1319,-899,2358
-1208,-722,2426
-1154,-776,2392
-1225,-744,2650
-1141,-635,2495
-1180,-625,2599
-1179,-591,2586
-1206,-558,2696
-1129,-452,2701
-1212,-362,2752
-1113,-277,2712
-1234,-392,2840
-1239,-226,2920
-1129,-322,2911
-1264,-183,3008
-1270,-111,3057
-1300,-146,2998
-1154,-21,3139
-1342,40,3116
-1297,37,3295
-1261,50,3050
-1231,261,3327
-1243,183,3326
-1403,245,3357
-1358,311,3401
-1397,278,3361
-1287,365,3506
-1420,391,3508
-1361,523,3700
-1331,551,3640
-1336,500,3806
-1448,505,3614
-1439,839,3742
-1424,577,3967
-1484,648,3878
-1518,801,3920
-1360,667,3908
-1432,710,3863
-1514,899,3970
-1405,727,4090
-1458,877,4014
-1522,863,4099
-1476,971,4072
-1392,974,3906
-1530,1083,4084
-1434,1105,4127
-1390,1064,4132
-1485,1133,4051
-1449,1366,4082
-1366,1153,4093
-1421,1112,3981
-1466,1336,4018
-1282,1419,4029
-1235,1373,3954
-1269,1293,3953
-1113,1480,4072
-1191,1554,3863
-1174,1605,3810
-1036,1717,3946
-1137,1704,3916
-983,1947,3821
-999,1727,3843
-782,1811,3740
-775,1766,3617
-742,2021,3781
-735,1962,3590
-672,2077,3534
-685,1875,3522
-409,2119,3525
-489,2077,3449
-394,2248,3214
-369,2239,3430
-406,2110,3287
-250,2401,3265
-124,2211,3068
-201,2387,3164
33,2304,2786
44,2319,2907
-52,2415,2768
83,2434,2710
160,2659,2483
78,2417,2404
300,2404,2299
185,2656,2253
266,2472,1958
305,2581,1891
373,2588,1750
411,2670,1583
538,2677,1539
485,2558,1263
572,2683,1318
717,2675,1172
531,2740,1036
579,2590,946
764,2642,763
826,2722,727
851,2558,483
825,2648,650
892,2602,368
923,2656,506
1104,2667,253
950,2647,441
998,2616,152
1086,2553,292
1105,2636,293
1338,2481,370
1154,2536,249
1273,2374,350
1232,2431,482
1462,2451,438
1385,2278,476
1302,2315,560
1437,2442,642
1424,2339,614
1505,2383,773
1453,2156,818
1380,2220,837
1577,2206,867
1527,2140,977
1445,2093,1058
1553,2217,989
1582,2021,1061
1534,2009,1014
1613,1985,1198
1728,2038,1099
1603,2054,1049
1736,2002,1245
1670,1889,1068
1689,2009,951
1793,1949,1099
1663,1821,1084
1788,1801,862
1890,1961,804
1819,1824,782
1959,1927,723
1840,1785,725
1879,1802,523
2080,1916,454
1923,1884,314
1874,1760,240
2014,1955,179
1959,1793,114
1985,1779,-99
2103,1836,-117
2120,1708,-184
2138,1818,-243
2146,1664,-412
2139,1895,-627
2069,1719,-649
2209,1824,-694
2093,1648,-638
2358,1744,-852
2122,1594,-896
2217,1592,-1021
2150,1509,-946
2226,1477,-993
2126,1530,-1192
2094,1673,-1188
2261,1310,-1306
2137,1474,-1270
2269,1477,-1355
2233,1244,-1268
2296,1341,-1368
2258,1272,-1509
2331,1323,-1422
2325,1251,-1463
2255,1197,-1490
2417,1136,-1616
2277,1050,-1560
2425,1088,-1408
2466,1025,-1587
2306,824,-1515
2528,894,-1585
2484,772,-1365
2509,754,-1612
2504,734,-1407
2523,663,-1548
2532,668,-1518
2537,534,-1344
2483,517,-1438
2519,401,-1504
2657,414,-1209
2601,245,-1416
2575,277,-1214
2638,195,-1328
2664,161,-1235
2525,39,-1338
2698,56,-1067
2655,-95,-1258
2583,-87,-1153
2565,-187,-993
2678,-278,-1120
2592,-144,-1042
2627,-271,-1140
2532,-458,-1048
2661,-443,-1059
2584,-465,-1045
2516,-529,-1118
2648,-549,-1023
2580,-629,-1257
2619,-638,-1270
2482,-684,-1180
2570,-698,-1151
2494,-966,-1305
2645,-913,-1397
2461,-801,-1272
2623,-932,-1564
2475,-1001,-1422
2489,-1098,-1492
2433,-1000,-1597
2498,-1093,-1808
2458,-1068,-1580
2352,-1137,-1857
2453,-1151,-1841
2388,-1262,-1992
2241,-1297,-2021
2339,-1131,-1949
2265,-1334,-2154
2330,-1455,-2175
2235,-1480,-2281
2227,-1450,-2194
2179,-1410,-2396
2156,-1653,-2455
2081,-1596,-2360
2120,-1606,-2432
